IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,BookingChanges,Agent,Company,DaysInWaitingList,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,Corporate,Direct,TA/TO,Deposit,RoomTypeDifference,Contract,Group,Transient,Transient-Party
1,49,2016,March,10,5,2,2,1,0,0,1,0,0,0,0,0,0,0,66.0,0,0,0,1,0,0,0,0,0,0,1
0,28,2016,October,43,18,0,2,2,0,0,1,0,0,0,0,1,0,0,43.89,0,1,0,0,1,0,0,0,0,1,0
0,165,2016,June,26,21,0,5,2,0,0,1,0,0,0,2,1,0,0,84.0,1,0,0,0,1,0,0,0,0,1,0
0,156,2017,May,19,8,2,5,2,0,0,1,0,0,0,0,1,0,0,102.0,0,1,0,0,1,0,0,0,0,1,0
1,145,2017,March,13,31,2,2,2,0,0,1,0,0,0,0,1,0,0,69.25,0,2,0,0,1,0,0,0,0,1,0
0,0,2017,February,7,13,1,2,1,0,0,1,0,2,8,1,0,1,0,35.0,1,2,1,0,0,0,1,0,0,1,0
1,22,2016,February,6,6,2,1,3,1,0,1,0,0,0,0,1,0,0,118.0,0,0,0,0,1,0,0,0,0,1,0
0,5,2016,February,9,27,1,1,2,2,0,1,0,0,0,1,1,0,0,96.0,1,0,0,0,1,0,0,0,0,1,0
0,87,2015,July,28,10,2,5,2,1,1,1,0,0,0,0,1,0,0,133.83,0,2,0,0,1,0,0,0,0,1,0
0,125,2017,April,14,3,2,5,2,0,0,1,0,0,0,0,1,0,0,40.95,0,1,0,0,1,0,0,1,0,0,0
0,43,2016,October,44,29,2,3,2,0,0,1,0,0,0,0,1,0,0,77.36,0,2,0,0,1,0,0,0,0,1,0
0,79,2015,October,44,29,0,2,2,0,0,1,0,0,0,0,1,0,0,46.5,1,1,0,0,1,0,0,0,0,1,0
0,24,2017,April,15,9,2,1,2,0,0,1,0,0,0,0,1,0,0,135.67,1,2,0,0,1,0,0,0,0,1,0
1,358,2017,August,33,17,2,5,2,2,0,1,0,0,0,0,1,0,0,260.0,0,0,0,0,1,0,0,0,0,1,0
0,38,2017,May,21,25,1,3,3,0,0,1,0,0,0,1,1,0,0,170.0,0,0,0,0,1,0,0,0,0,1,0
1,277,2016,July,29,12,2,5,2,0,0,1,0,0,0,0,1,0,0,92.57,0,1,0,0,1,0,0,0,0,1,0
0,1,2017,March,13,28,0,2,1,0,0,1,0,0,0,0,0,1,0,35.0,0,0,1,0,0,0,0,0,0,1,0
1,22,2017,February,8,23,0,2,2,0,0,0,0,0,0,0,1,0,0,46.0,0,0,0,0,1,0,1,0,0,0,1
0,0,2016,January,4,18,1,0,2,0,0,1,0,0,0,1,1,0,0,43.0,0,0,0,0,1,0,1,0,0,0,1
1,77,2017,August,34,24,0,3,2,0,0,1,0,0,0,0,0,0,0,198.0,0,0,0,0,1,1,0,0,0,1,0
0,155,2015,October,44,31,0,1,2,0,0,1,0,0,0,0,0,0,0,36.0,1,1,0,1,0,0,0,0,0,1,0
0,362,2016,December,52,24,1,1,2,0,0,1,0,0,1,2,1,0,0,80.0,0,1,0,0,1,0,0,1,0,0,0
0,31,2015,September,38,17,1,3,2,0,0,1,0,0,0,0,1,0,0,102.6,1,1,0,0,1,0,0,0,0,1,0
0,0,2016,February,8,16,2,5,2,0,0,1,0,0,0,0,1,0,0,45.5,0,0,0,0,1,0,0,0,0,1,0
0,172,2017,May,18,5,2,5,2,0,0,1,0,0,0,0,1,0,0,137.0,1,3,0,0,1,0,0,0,0,0,1
1,289,2015,November,47,20,1,2,2,0,0,1,0,1,0,0,1,0,0,69.0,0,0,0,0,1,0,0,0,0,0,1
0,2,2016,February,9,26,1,2,2,0,0,1,0,0,0,0,1,0,0,109.33,1,1,0,0,1,0,0,0,0,1,0
0,146,2016,September,40,29,0,1,2,0,0,1,0,0,0,0,0,1,0,116.1,0,0,0,0,1,0,0,0,0,0,1
1,145,2016,August,35,26,2,2,2,2,0,1,0,0,0,0,1,0,0,249.5,0,0,0,0,1,0,0,0,0,1,0
0,62,2017,July,29,18,4,10,2,0,0,1,0,0,0,0,1,0,0,192.1,0,2,0,0,1,0,0,0,0,1,0
0,359,2016,October,41,7,2,7,2,0,0,1,0,0,0,1,0,1,0,67.78,0,1,1,0,0,0,1,0,0,0,1
0,39,2015,October,40,3,2,2,2,0,0,1,0,0,0,0,1,0,0,81.6,0,0,0,0,1,0,0,1,0,0,0
0,220,2017,March,12,24,2,5,2,0,0,1,0,0,0,1,1,0,6,62.63,0,0,0,0,1,0,0,0,0,0,1
0,119,2016,August,34,20,2,5,3,0,0,1,0,0,0,0,1,0,0,248.8,0,1,0,0,1,0,0,0,0,0,1
1,149,2016,July,30,23,2,5,2,1,0,1,0,0,0,2,1,0,0,195.75,0,1,0,0,1,0,0,0,0,1,0
0,127,2015,December,52,24,2,5,2,2,0,1,0,0,0,0,1,0,0,94.36,0,1,0,0,1,0,0,0,0,0,1
0,18,2017,May,21,26,4,10,2,0,0,1,1,0,1,0,1,0,0,175.57,0,1,0,0,1,0,0,0,0,1,0
0,75,2016,May,23,29,4,6,2,0,0,1,0,0,0,0,1,0,0,90.0,0,1,0,0,1,0,0,0,0,1,0
0,80,2016,December,52,24,2,4,1,0,0,1,0,0,0,0,1,0,0,46.8,0,1,0,0,1,0,0,0,0,0,1
0,3,2015,July,29,17,1,2,2,0,0,1,0,0,0,0,0,0,0,127.3,0,1,0,1,0,0,1,0,0,1,0
0,173,2016,October,41,5,2,5,2,0,0,1,0,0,0,0,1,0,0,84.29,0,1,0,0,1,0,0,0,0,1,0
1,36,2017,January,1,2,3,7,2,0,0,1,0,0,0,0,1,0,0,42.0,0,2,0,0,1,0,0,0,0,1,0
1,139,2017,May,21,21,2,3,2,0,0,1,0,0,0,0,1,0,0,115.0,0,0,0,0,1,0,0,0,0,1,0
0,90,2015,December,53,31,0,2,2,0,0,1,0,0,0,0,1,0,0,66.02,0,0,0,0,1,0,0,0,0,1,0
1,54,2016,May,19,7,0,1,2,0,0,1,0,0,0,0,1,0,0,97.0,0,0,0,0,1,0,0,0,0,1,0
0,101,2016,April,18,29,2,5,2,0,0,1,0,0,0,6,1,0,0,47.0,0,0,0,0,1,0,0,0,0,0,1
0,16,2017,January,4,27,0,2,2,0,0,1,1,0,1,0,1,0,0,68.0,0,1,0,0,1,0,0,0,0,1,0
0,167,2015,September,36,1,2,5,2,0,0,1,0,0,0,0,0,0,0,73.8,0,0,0,1,0,0,0,0,0,1,0
0,74,2017,January,4,24,1,5,2,0,0,1,0,0,0,0,1,0,0,99.0,1,2,0,0,1,0,0,0,0,1,0
0,19,2016,November,47,14,1,0,2,0,0,1,0,0,0,0,1,0,0,56.0,0,2,0,0,1,0,0,0,0,1,0
0,44,2015,October,40,1,2,5,2,0,0,1,0,0,0,0,1,0,0,69.93,0,1,0,0,1,0,0,1,0,0,0
0,175,2017,August,31,3,4,10,2,0,0,1,0,0,0,2,1,0,0,258.29,0,2,0,0,1,0,0,0,0,1,0
0,1,2017,April,14,8,0,1,2,0,0,1,0,0,0,0,1,0,0,115.0,0,2,0,0,1,0,0,0,0,0,1
0,105,2015,November,47,18,2,4,2,0,0,0,0,0,0,0,1,0,65,69.0,0,0,0,0,1,0,0,0,0,0,1
0,6,2015,August,35,23,2,2,2,0,0,1,0,0,0,0,1,0,0,201.0,0,0,0,1,0,0,0,0,0,1,0
1,201,2016,May,22,23,3,7,2,0,1,1,0,0,0,1,1,0,0,63.92,0,1,0,1,0,0,0,0,0,1,0
0,9,2015,August,35,29,2,5,2,0,0,1,0,0,0,0,1,0,0,146.0,1,2,0,0,1,0,0,0,0,1,0
0,18,2017,July,28,9,2,1,2,0,0,1,0,0,0,0,1,0,0,160.0,0,2,0,0,1,0,0,0,0,1,0
0,23,2015,July,31,26,2,4,2,0,0,1,0,0,0,0,1,0,0,131.2,0,1,0,0,1,0,0,0,0,1,0
0,61,2015,August,34,19,0,4,2,0,0,1,0,0,0,0,1,0,0,168.25,0,0,0,0,1,0,0,0,0,1,0
1,75,2017,April,15,14,2,2,2,0,0,1,0,0,0,0,1,0,0,87.5,0,0,0,0,1,0,0,0,0,1,0
0,55,2017,February,8,23,1,3,2,0,0,1,0,0,0,3,1,0,0,75.0,1,2,0,0,1,0,0,0,0,0,1
0,292,2017,August,35,28,3,5,2,0,0,1,0,0,0,5,1,0,0,166.6,0,1,0,0,1,0,0,0,0,0,1
0,119,2016,March,11,7,2,5,2,0,0,1,0,0,0,0,1,0,0,26.0,0,0,0,0,1,0,1,0,0,1,0
1,46,2017,March,10,11,2,5,2,0,0,1,0,0,0,0,1,0,0,89.0,0,0,0,1,0,0,0,0,0,1,0
1,347,2017,July,30,24,2,5,2,2,0,1,0,0,0,0,1,0,0,262.0,0,0,0,0,1,0,0,0,0,1,0
0,26,2016,November,47,19,0,1,2,0,0,1,0,0,0,0,1,0,0,86.0,0,2,0,0,1,0,0,0,0,1,0
0,68,2017,April,15,13,0,1,2,0,0,1,0,0,0,0,1,0,0,85.0,0,2,0,0,1,0,1,0,0,1,0
0,1,2017,March,9,2,0,1,1,0,0,1,0,0,0,0,0,0,0,68.0,1,0,0,1,0,0,0,0,0,0,1
1,70,2017,April,15,11,0,4,2,0,0,1,0,0,0,0,1,0,0,80.0,0,1,0,0,1,0,0,0,0,1,0
1,75,2016,May,19,7,2,5,2,0,0,1,0,0,0,0,1,0,0,88.0,0,1,0,0,1,0,0,0,0,1,0
0,222,2015,September,38,14,1,1,2,0,0,1,0,0,0,0,1,0,0,80.0,0,0,0,0,1,0,1,0,0,0,1
1,43,2016,April,18,28,1,3,2,0,0,1,0,0,0,0,1,0,0,67.75,0,0,0,0,1,0,0,0,0,1,0
0,0,2015,December,52,21,1,0,2,0,0,1,1,0,2,0,0,0,0,46.0,0,1,0,1,0,0,0,0,0,1,0
0,1,2016,January,3,14,0,1,1,0,0,1,0,0,0,0,1,0,0,25.0,0,0,0,0,1,0,1,0,0,1,0
1,90,2016,August,34,15,1,5,2,0,0,1,0,0,0,0,1,0,0,231.0,0,0,0,0,1,0,0,0,0,1,0
1,41,2015,November,46,12,0,2,1,0,0,1,0,0,0,0,1,0,0,40.0,0,0,1,0,0,0,0,0,0,0,1
0,213,2016,May,21,16,1,1,2,0,0,1,0,0,0,0,1,0,0,85.0,0,0,0,0,1,0,0,0,0,1,0
1,60,2016,August,33,8,1,3,2,2,0,1,0,0,0,0,1,0,0,243.63,0,0,0,0,1,0,0,0,0,1,0
1,122,2015,November,47,20,0,2,2,0,0,1,0,0,0,0,1,0,0,32.4,0,2,0,0,1,0,0,0,0,1,0
0,0,2016,January,2,9,0,1,1,0,0,1,0,0,0,0,0,0,0,38.0,0,0,0,1,0,0,0,0,0,1,0
0,0,2015,December,51,17,0,1,1,0,0,1,0,0,0,0,0,1,0,25.0,0,0,1,0,0,0,1,0,0,1,0
0,364,2016,October,42,12,0,4,2,0,0,1,0,0,0,0,0,1,0,69.0,1,0,1,0,0,0,1,0,0,0,1
1,196,2016,June,25,14,2,7,2,0,0,1,0,1,0,0,1,0,0,99.0,0,2,0,0,1,0,0,0,0,1,0
0,178,2015,September,37,12,0,1,1,0,0,1,0,0,0,1,1,0,0,54.9,0,0,0,0,1,0,1,0,0,1,0
0,2,2017,May,19,11,2,3,2,0,0,1,0,0,0,0,1,0,0,151.0,0,0,0,0,1,0,0,0,0,1,0
0,64,2016,November,48,23,2,5,2,0,0,1,0,0,0,0,1,0,0,31.0,0,0,0,0,1,0,1,0,0,1,0
1,87,2016,April,18,29,2,5,2,0,0,1,0,0,0,0,1,0,0,70.0,0,0,0,0,1,1,0,0,0,1,0
0,16,2017,February,8,25,1,1,2,0,0,1,0,0,0,0,1,0,0,88.0,0,0,0,0,1,0,0,0,0,1,0
1,83,2017,August,31,3,3,8,2,0,0,1,0,0,0,0,1,0,0,250.0,0,1,0,0,1,0,0,0,0,1,0
1,135,2016,October,43,21,0,2,2,0,0,1,0,0,0,0,1,0,0,68.0,0,0,0,0,1,0,0,0,0,1,0
0,325,2017,June,25,24,2,5,2,0,0,1,1,0,1,0,1,0,0,73.92,0,3,0,0,1,0,0,0,0,1,0
0,72,2016,May,20,12,1,3,3,0,0,1,0,0,0,1,1,0,0,160.0,0,0,0,1,0,0,0,0,0,1,0
0,21,2017,April,14,5,2,5,2,1,0,1,0,0,0,0,1,0,0,137.89,1,0,0,0,1,0,0,0,0,1,0
1,135,2016,October,43,22,2,2,2,0,0,1,0,0,0,0,1,0,0,68.0,0,0,0,0,1,0,0,0,0,1,0
0,138,2016,September,37,5,1,5,2,0,0,1,0,0,0,0,1,0,0,139.0,0,1,0,0,1,0,0,0,0,0,1
0,0,2016,February,7,10,0,1,2,0,0,1,0,0,0,0,0,0,0,75.0,0,0,0,1,0,0,1,0,0,1,0
0,55,2015,December,52,25,1,2,2,0,0,1,0,0,0,0,1,0,0,26.1,0,3,0,0,1,0,0,0,0,1,0
1,98,2017,February,6,8,6,15,2,0,0,1,0,0,0,0,1,0,0,37.8,0,0,0,0,1,0,0,0,0,1,0
0,4,2017,June,24,11,1,0,1,0,0,1,1,0,10,0,0,0,0,115.2,1,1,0,1,0,0,1,0,0,1,0
1,0,2017,July,28,13,0,1,2,0,0,1,0,0,0,0,1,0,0,105.0,0,2,0,0,1,0,0,0,0,1,0
0,18,2015,December,52,23,0,4,1,0,0,1,0,0,0,0,1,0,0,45.0,0,0,0,0,1,0,0,0,0,1,0
0,19,2017,January,5,29,4,7,1,0,0,1,0,0,0,0,1,0,0,34.4,0,0,0,0,1,0,0,0,0,0,1
1,157,2017,August,34,22,0,4,2,0,0,1,0,0,0,0,1,0,0,237.5,0,0,0,1,0,0,0,0,0,1,0
1,66,2015,December,49,5,1,1,2,0,0,1,0,0,0,0,1,0,0,64.0,0,0,0,0,1,0,0,0,0,0,1
1,111,2016,October,43,18,0,4,3,1,0,1,0,0,0,0,1,0,0,123.0,0,0,0,0,1,0,0,0,0,1,0
0,122,2015,July,31,30,1,3,2,0,0,1,0,0,0,0,1,0,0,144.6,1,0,0,0,1,0,1,0,0,1,0
0,265,2017,April,13,1,2,5,2,0,0,1,0,0,0,0,1,0,0,51.97,0,1,0,0,1,0,0,0,0,1,0
0,112,2015,December,52,26,2,4,2,2,0,1,0,0,0,0,1,0,0,92.55,0,1,0,0,1,0,0,0,0,1,0
1,174,2016,August,34,19,2,5,2,0,0,1,0,0,0,2,1,0,0,180.0,0,1,0,0,1,0,0,0,0,1,0
0,171,2017,August,35,27,2,5,2,0,0,1,0,0,0,0,1,0,0,131.4,1,0,0,0,1,0,0,0,0,1,0
0,34,2015,September,39,22,2,6,2,0,0,1,0,0,0,0,1,0,0,117.2,0,1,0,0,1,0,0,1,0,0,0
0,40,2015,July,28,11,2,5,2,0,0,1,0,0,0,0,1,0,0,166.0,0,0,0,0,1,0,0,0,0,1,0
0,54,2016,January,3,13,0,2,2,0,0,1,0,0,0,0,1,0,0,26.0,0,0,0,0,1,0,1,0,0,1,0
0,33,2016,April,17,18,1,4,2,0,0,1,0,0,0,0,1,0,0,63.75,0,0,0,0,1,0,1,0,0,1,0
1,292,2016,November,45,3,0,1,2,0,0,1,0,0,0,0,1,0,0,38.0,0,0,0,0,1,0,0,0,0,0,1
0,13,2017,March,10,5,2,0,2,0,0,1,0,0,0,1,1,0,0,87.0,1,0,0,0,1,0,0,0,0,1,0
1,212,2016,April,16,11,2,5,2,0,0,1,0,0,0,0,1,0,0,76.05,0,0,0,1,0,1,0,0,0,1,0
0,2,2017,August,33,17,0,1,2,0,0,1,0,0,0,0,1,0,0,231.0,0,3,0,0,1,0,0,0,0,0,1
1,0,2017,March,12,20,1,0,1,0,0,1,1,0,1,0,0,1,0,35.0,0,0,1,0,0,0,1,0,0,1,0
1,304,2017,June,23,8,2,3,2,0,0,1,0,0,0,0,1,0,0,66.0,0,0,0,0,1,1,0,0,0,1,0
0,45,2017,July,26,1,2,5,1,2,0,1,0,0,0,1,1,0,0,210.0,1,1,0,0,1,0,0,0,0,1,0
0,336,2016,September,38,15,0,3,2,0,0,1,0,0,0,0,0,1,0,66.0,0,0,0,1,0,0,0,0,0,0,1
1,256,2015,August,31,1,3,6,2,2,0,1,0,1,0,1,1,0,0,199.0,0,1,0,0,1,0,0,0,0,0,1
0,0,2015,August,35,24,1,0,2,0,0,1,0,0,0,0,0,0,0,153.0,0,0,0,1,0,0,1,0,0,1,0
0,233,2016,September,39,18,1,0,2,0,0,1,0,0,0,0,1,0,0,104.0,0,1,0,0,1,0,0,0,0,0,1
