IsCanceled,LeadTime,ArrivalDateYear,ArrivalDateMonth,ArrivalDateWeekNumber,ArrivalDateDayOfMonth,StaysInWeekendNights,StaysInWeekNights,Adults,Children,Babies,Meal,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,BookingChanges,Agent,Company,DaysInWaitingList,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests,Corporate,Direct,GDS,TA/TO,Deposit,RoomTypeDifference,Contract,Group,Transient,Transient-Party
0,0,2016,July,31,24,2,0,1,0.0,0,0,0,0,0,1,1,0,0,119.0,0,0,0,0,0,1,0,0,0,0,1,0
0,20,2016,September,38,11,2,1,2,0.0,0,0,0,0,0,0,1,0,0,85.0,0,0,0,0,0,1,0,0,0,0,1,0
0,105,2016,June,24,11,1,1,2,0.0,0,1,0,0,0,0,1,0,0,126.9,0,1,0,0,0,1,0,1,0,0,1,0
1,105,2015,October,42,12,1,2,2,0.0,0,1,0,0,0,0,1,0,0,110.0,0,0,0,0,0,1,1,0,0,0,1,0
1,72,2015,September,37,11,0,2,2,0.0,0,1,0,0,0,0,1,0,0,126.0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,2015,August,32,5,1,4,2,0.0,0,1,0,0,0,2,0,0,0,75.0,0,0,0,1,0,0,0,0,0,0,1,0
0,215,2016,November,48,21,1,1,1,0.0,0,1,0,0,0,1,0,1,0,75.0,0,1,1,0,0,0,0,0,0,0,1,0
0,9,2017,March,11,13,1,0,1,0.0,0,0,0,0,0,0,1,0,0,88.0,0,2,0,0,0,1,0,0,0,0,1,0
1,100,2017,April,16,22,2,2,2,0.0,0,1,0,0,0,0,1,0,0,105.0,0,0,0,0,0,1,1,0,0,0,1,0
0,5,2017,July,28,11,0,2,2,0.0,0,0,0,0,0,0,1,0,0,130.0,0,2,0,0,0,1,0,0,0,0,1,0
0,8,2015,November,45,5,0,2,1,0.0,0,1,0,0,0,0,1,0,0,90.0,0,0,0,1,0,0,0,0,0,0,1,0
0,181,2017,July,31,30,2,1,2,0.0,0,1,0,0,0,0,1,0,0,80.1,0,0,0,0,0,1,0,0,0,0,1,0
1,56,2016,June,24,8,0,1,2,0.0,0,1,0,0,0,0,1,0,0,120.0,0,0,1,0,0,0,0,0,0,0,0,1
0,149,2016,August,33,12,2,4,2,0.0,0,1,0,0,0,0,1,0,0,120.7,0,2,0,0,0,1,0,0,0,0,1,0
0,35,2016,November,49,28,1,2,1,0.0,0,1,0,0,0,0,0,0,0,65.0,0,0,0,0,0,1,0,0,0,0,0,1
0,267,2016,October,44,24,1,3,2,0.0,0,1,0,0,0,0,1,0,0,105.83,0,1,0,0,0,1,0,0,0,0,1,0
0,0,2016,January,2,3,1,0,2,0.0,0,1,0,0,0,0,1,0,0,99.0,0,0,0,0,0,1,0,0,0,0,1,0
1,162,2017,April,13,1,2,1,2,0.0,0,1,0,0,0,0,1,0,0,98.0,0,0,0,0,0,1,0,0,0,0,0,1
0,35,2015,September,39,26,2,4,2,0.0,0,1,0,0,0,0,1,0,0,166.58,0,2,0,0,0,1,0,0,0,0,1,0
0,25,2017,January,1,6,0,2,2,0.0,0,1,0,0,0,0,1,0,0,198.0,0,0,0,1,0,0,0,0,0,0,1,0
1,3,2017,June,22,1,0,1,1,0.0,0,0,0,0,0,0,1,0,0,100.0,0,0,0,0,0,1,0,0,0,0,1,0
0,50,2017,January,1,3,0,1,2,0.0,0,1,0,0,0,0,1,0,0,79.2,0,0,0,1,0,0,0,0,0,0,1,0
0,134,2017,February,8,25,0,1,1,0.0,0,1,0,0,0,0,1,0,0,75.0,0,0,0,0,0,1,0,0,0,0,0,1
0,19,2016,December,50,8,0,3,2,0.0,0,1,0,0,0,2,1,0,0,108.67,0,0,0,0,0,1,0,1,0,0,1,0
1,97,2015,October,41,5,1,3,1,0.0,0,1,0,0,0,0,1,0,0,140.0,0,0,0,0,0,1,1,0,0,0,1,0
1,89,2015,October,40,3,2,2,2,0.0,0,1,0,0,0,0,1,0,0,62.0,0,0,0,0,0,1,1,0,0,0,1,0
1,53,2017,April,16,16,1,0,2,0.0,0,0,0,0,0,0,1,0,0,108.0,0,0,0,0,0,1,0,0,0,0,1,0
0,134,2017,February,8,25,0,1,1,0.0,0,1,0,0,0,0,1,0,0,75.0,0,0,0,0,0,1,0,0,0,0,0,1
1,92,2017,March,11,15,0,3,2,0.0,0,1,0,0,0,0,0,0,0,85.0,0,0,0,1,0,0,1,0,0,0,1,0
1,23,2015,October,41,7,0,1,2,0.0,0,1,0,1,0,0,0,0,0,90.0,0,0,0,1,0,0,0,0,0,0,1,0
1,151,2016,July,29,11,1,1,2,0.0,0,1,0,0,0,0,1,0,0,82.45,0,1,0,0,0,1,0,0,0,0,0,1
0,174,2017,March,10,5,2,2,2,0.0,0,1,0,0,0,0,0,0,0,90.0,0,1,0,0,0,1,0,0,0,0,0,1
0,275,2017,January,2,13,0,1,3,0.0,0,1,0,0,0,1,1,0,0,116.7,0,1,0,1,0,0,0,0,0,0,1,0
0,46,2017,January,1,1,2,0,2,0.0,0,1,0,0,0,0,0,0,0,65.0,0,0,0,0,0,1,0,0,0,0,0,1
0,13,2016,June,24,5,1,0,2,0.0,0,1,0,0,0,0,1,0,0,111.85,0,1,0,0,0,1,0,0,0,0,1,0
1,99,2016,February,8,19,0,1,2,0.0,0,1,0,1,0,0,0,1,0,80.0,0,0,1,0,0,0,0,0,0,0,0,1
0,82,2016,May,21,16,1,1,2,0.0,0,0,0,0,0,0,1,0,0,116.1,0,1,0,0,0,1,0,0,0,0,0,1
0,4,2017,July,28,10,1,0,1,0.0,0,1,1,0,2,1,0,1,0,65.0,0,0,1,0,0,0,0,0,0,0,1,0
1,58,2016,January,5,27,0,2,1,0.0,0,1,0,1,0,0,1,0,0,80.0,0,0,0,0,0,1,0,0,0,0,0,1
1,178,2017,May,20,20,2,2,1,0.0,0,1,0,0,0,0,1,0,0,139.28,0,0,0,0,0,1,0,0,0,0,1,0
0,0,2017,January,5,31,0,1,1,0.0,0,1,1,0,0,0,1,0,0,65.0,0,1,0,0,0,1,0,1,0,0,1,0
0,159,2017,April,15,13,1,3,2,0.0,0,1,0,0,0,0,1,0,0,95.29,0,1,0,0,0,1,0,0,0,0,1,0
0,178,2017,May,21,25,0,3,2,0.0,0,0,0,0,0,0,1,0,0,108.0,0,1,0,0,0,1,0,0,0,0,1,0
0,256,2016,June,25,15,0,2,2,0.0,0,1,0,0,0,0,1,0,0,115.0,0,1,0,0,0,1,0,0,0,0,0,1
0,15,2017,June,23,7,0,2,1,0.0,0,1,0,0,0,0,1,0,0,130.0,0,0,0,0,0,1,0,0,0,0,0,1
0,117,2016,February,10,29,1,2,2,0.0,0,1,0,0,0,2,1,0,0,86.33,0,0,0,0,0,1,0,0,0,0,0,1
1,25,2015,December,50,8,0,2,1,0.0,0,1,0,1,0,0,1,0,0,90.0,0,0,0,0,0,1,1,0,0,0,1,0
0,96,2017,August,33,16,1,4,2,0.0,0,0,0,0,0,0,1,0,0,71.1,0,0,0,0,0,1,0,0,0,0,1,0
0,77,2015,December,53,31,2,4,2,0.0,0,1,0,0,0,0,1,0,0,100.97,0,1,0,0,0,1,0,0,1,0,0,0
1,57,2016,May,23,31,0,1,1,0.0,0,1,0,0,0,0,0,0,0,120.0,0,0,0,0,0,1,0,0,0,0,0,1
1,70,2016,April,16,14,1,3,2,0.0,0,0,0,0,0,0,1,0,0,89.25,0,0,0,0,0,1,0,0,0,0,1,0
1,93,2016,July,28,3,2,5,1,0.0,0,1,0,0,0,0,1,0,0,108.9,0,0,0,0,0,1,0,0,0,0,1,0
0,2,2016,December,52,21,0,2,1,0.0,0,1,1,3,23,0,0,1,0,67.0,0,0,1,0,0,0,0,0,0,0,1,0
0,249,2017,June,24,15,2,5,2,0.0,0,1,0,0,0,0,1,0,0,117.0,0,2,0,0,0,1,0,0,0,0,1,0
0,33,2015,October,42,17,2,4,2,2.0,0,1,0,0,0,0,1,0,0,95.0,0,2,0,0,0,1,0,1,1,0,0,0
0,16,2017,February,6,5,2,3,1,0.0,0,1,0,0,0,1,1,0,0,70.69,0,1,0,0,0,1,0,0,0,0,1,0
1,26,2017,April,17,28,1,2,2,0.0,0,0,0,0,0,0,1,0,0,115.0,0,1,0,0,0,1,0,0,0,0,1,0
0,185,2016,August,32,2,2,6,2,1.0,0,1,0,0,0,0,1,0,0,114.75,0,1,0,0,0,1,0,1,0,0,1,0
0,9,2016,August,33,11,0,1,2,0.0,0,1,1,3,13,0,0,1,0,75.0,0,0,1,0,0,0,0,0,0,0,1,0
0,1,2016,February,7,9,0,1,2,1.0,0,1,0,0,0,0,1,0,0,109.0,0,0,0,0,0,1,0,1,0,0,1,0
0,29,2016,December,49,2,0,2,2,0.0,0,1,0,0,0,0,0,0,0,85.0,0,0,0,0,0,1,0,0,0,0,0,1
0,0,2015,December,50,6,1,0,2,0.0,0,1,0,0,0,0,0,0,0,226.0,0,0,0,1,0,0,0,0,0,0,1,0
1,22,2016,March,10,3,0,3,2,0.0,0,1,0,0,0,2,1,0,0,94.33,0,2,0,0,0,1,0,0,0,0,1,0
0,65,2017,January,2,12,0,2,1,0.0,0,1,0,0,0,0,0,1,0,65.0,0,0,0,0,0,1,0,0,0,0,0,1
0,10,2017,July,28,15,1,1,2,0.0,0,1,0,0,0,0,1,0,0,118.0,0,1,0,0,0,1,0,0,0,0,1,0
0,28,2016,May,23,29,1,0,3,0.0,0,1,0,0,0,0,1,0,0,157.0,0,2,0,0,0,1,0,0,0,0,1,0
0,11,2016,November,47,19,2,1,2,0.0,0,1,0,0,0,0,1,0,0,107.67,0,2,0,0,0,1,0,0,0,0,1,0
1,60,2016,July,29,11,1,4,2,0.0,0,1,0,0,0,0,1,0,0,120.6,0,0,0,0,0,1,0,0,0,0,1,0
1,88,2016,May,19,3,0,3,1,0.0,0,1,0,0,0,1,1,0,0,96.0,0,0,0,0,0,1,0,0,0,0,0,1
1,28,2016,October,42,13,0,1,3,0.0,0,1,0,0,0,0,1,0,0,250.0,0,0,0,0,0,1,0,0,0,0,0,1
1,131,2016,April,18,30,2,6,1,1.0,0,1,0,0,0,0,0,0,0,111.69,0,1,0,1,0,0,0,0,0,0,1,0
0,29,2016,October,41,5,0,2,2,0.0,0,1,0,0,0,0,1,0,0,152.0,0,2,0,0,0,1,0,0,0,0,0,1
0,4,2017,January,1,5,0,3,2,1.0,0,1,0,0,0,0,1,0,0,141.91,0,2,0,0,0,1,0,0,0,0,1,0
0,1,2017,March,9,2,0,1,1,0.0,0,0,0,0,0,1,1,0,0,88.0,0,0,0,1,0,0,0,0,0,0,1,0
0,108,2017,April,15,15,1,1,2,0.0,0,1,0,0,0,0,1,0,0,148.5,0,1,0,0,0,1,0,0,0,0,1,0
0,146,2015,December,53,29,0,3,2,0.0,0,1,0,0,0,0,1,0,99,75.0,0,0,0,0,0,1,0,0,0,0,0,1
1,131,2015,August,33,15,2,1,2,0.0,0,1,0,0,0,0,1,0,0,94.5,0,0,0,0,0,1,0,0,0,0,0,1
0,30,2017,January,5,30,1,4,2,0.0,0,1,0,0,0,0,1,0,0,90.1,0,1,0,0,0,1,0,0,0,0,1,0
1,186,2016,October,41,2,2,5,2,1.0,0,1,0,0,0,0,1,0,0,125.1,0,0,0,0,0,1,0,0,0,0,1,0
0,230,2017,August,35,31,0,3,2,0.0,0,1,0,0,0,0,1,0,0,109.5,0,0,0,0,0,1,0,0,0,0,1,0
1,240,2016,October,43,21,1,2,2,0.0,0,1,0,0,0,0,1,0,0,110.0,0,0,0,0,0,1,1,0,0,0,1,0
1,93,2017,June,25,22,2,3,2,0.0,0,1,0,0,0,0,1,0,0,99.0,0,0,0,0,0,1,0,0,0,0,0,1
1,276,2015,July,30,20,1,1,2,0.0,0,1,0,1,0,0,1,0,0,62.0,0,0,0,0,0,1,0,0,1,0,0,0
0,112,2016,June,23,2,0,1,1,0.0,0,1,0,0,0,2,1,0,0,90.0,0,0,0,0,0,1,0,0,0,0,0,1
0,66,2017,March,10,10,1,2,2,0.0,0,1,0,0,0,0,1,0,0,80.0,0,1,0,0,0,1,0,0,0,0,0,1
0,4,2016,October,41,7,0,2,2,1.0,0,1,0,0,0,1,1,0,0,151.5,0,0,0,0,0,1,0,1,0,0,1,0
0,0,2016,May,21,17,0,1,2,0.0,0,0,0,0,0,0,1,0,0,95.94,0,0,0,0,0,1,0,0,0,0,1,0
0,4,2016,September,36,2,2,3,2,0.0,0,1,0,0,0,0,1,0,0,162.0,0,0,0,0,0,1,0,0,0,0,1,0
1,177,2017,July,27,3,1,1,2,0.0,0,0,0,0,0,0,1,0,0,89.1,0,0,0,0,0,1,0,0,0,0,1,0
1,290,2016,December,49,1,1,3,2,0.0,0,1,0,0,0,0,1,0,0,73.95,0,0,0,0,0,1,0,0,0,0,1,0
0,2,2015,August,33,10,1,1,2,0.0,0,1,0,0,0,0,1,0,0,98.0,0,1,0,0,0,1,0,1,0,0,1,0
1,183,2016,October,42,11,0,1,2,0.0,0,0,0,0,0,0,1,0,0,98.1,0,0,0,0,0,1,0,0,0,0,1,0
1,16,2015,November,45,4,0,2,1,0.0,0,1,0,1,0,0,0,1,0,95.0,0,0,1,0,0,0,1,0,0,0,1,0
0,198,2017,August,32,11,0,2,2,0.0,0,1,0,0,0,0,1,0,0,80.1,0,0,0,0,0,1,0,0,0,0,1,0
0,29,2017,April,17,28,2,2,2,0.0,0,0,0,0,0,2,1,0,0,123.5,0,3,0,0,0,1,0,0,0,0,1,0
1,247,2016,October,44,28,1,2,2,0.0,0,1,0,0,0,0,1,0,0,110.0,0,0,0,0,0,1,1,0,0,0,1,0
0,26,2016,February,6,3,0,4,2,0.0,0,1,0,0,0,0,1,0,0,89.0,0,1,0,0,0,1,0,0,0,0,1,0
1,104,2015,August,36,30,2,1,2,0.0,0,1,0,0,0,0,1,0,0,90.0,0,0,0,0,0,1,1,0,0,0,1,0
1,183,2017,May,19,11,1,3,2,0.0,0,1,0,0,0,0,1,0,0,130.0,0,0,0,0,0,1,1,0,0,0,1,0
0,27,2015,September,40,28,1,3,2,0.0,0,1,0,0,0,0,1,0,0,149.88,0,0,0,0,0,1,0,0,1,0,0,0
0,52,2016,April,17,22,1,2,2,0.0,0,0,0,0,0,1,1,0,0,85.0,0,0,0,0,0,1,0,0,0,0,1,0
0,10,2016,May,19,3,0,1,2,0.0,0,0,0,0,0,0,0,0,0,58.0,0,1,0,1,0,0,0,0,0,0,1,0
1,22,2016,May,21,20,0,2,2,0.0,0,1,0,0,0,0,1,0,0,140.0,0,0,0,0,0,1,1,0,0,0,1,0
0,44,2017,January,1,3,0,2,3,0.0,0,1,0,0,0,0,1,0,0,146.3,0,2,0,0,0,1,0,0,0,0,1,0
0,161,2016,November,49,28,1,4,2,0.0,0,1,0,0,0,0,1,0,0,94.0,1,3,0,0,0,1,0,0,0,0,1,0
0,301,2016,July,31,30,1,1,2,0.0,0,1,0,0,0,0,1,0,0,115.0,0,1,0,0,0,1,0,0,0,0,0,1
1,100,2015,October,42,16,0,1,2,0.0,0,1,0,0,0,0,1,0,0,108.0,0,0,0,0,0,1,1,0,0,0,1,0
1,133,2017,April,17,23,2,0,3,0.0,0,1,0,0,0,0,1,0,0,166.5,0,2,0,0,0,1,0,0,0,0,1,0
1,183,2017,May,19,11,1,3,2,0.0,0,1,0,0,0,0,1,0,0,130.0,0,0,0,0,0,1,1,0,0,0,1,0
0,99,2016,February,8,19,0,1,1,0.0,0,1,0,0,0,0,0,1,0,81.0,0,0,0,0,0,1,0,1,0,0,0,1
0,0,2017,February,5,2,0,1,1,0.0,0,1,0,0,0,0,1,0,0,93.0,0,0,0,1,0,0,0,0,0,0,1,0
1,396,2017,April,17,25,0,1,2,0.0,0,1,0,0,0,0,1,0,0,90.0,0,0,0,0,0,1,1,0,0,0,1,0
0,53,2016,August,32,6,0,1,2,0.0,0,1,0,0,0,0,1,0,0,168.3,0,1,0,0,0,1,0,0,0,0,1,0
0,184,2016,July,29,11,1,4,3,0.0,0,1,0,0,0,1,1,0,0,96.9,0,1,0,0,0,1,0,0,0,0,1,0
0,71,2016,July,29,13,0,4,2,0.0,0,1,0,0,0,0,1,0,0,79.56,0,0,0,0,0,1,0,0,0,0,1,0
0,23,2016,January,1,2,2,1,1,0.0,0,1,0,0,0,0,1,0,0,87.0,0,0,0,0,0,1,0,0,0,0,0,1
1,204,2016,May,19,5,0,3,1,0.0,0,1,0,0,0,0,1,0,96,90.0,0,0,0,0,0,1,1,0,0,0,1,0
1,178,2016,August,35,23,0,3,2,0.0,0,1,0,0,0,1,1,0,0,94.62,0,0,0,0,0,1,0,0,0,0,0,1
0,151,2017,March,12,20,1,1,2,0.0,0,1,0,0,0,0,1,0,0,95.0,0,0,0,0,0,1,0,0,0,0,0,1
0,4,2016,February,6,1,1,0,1,0.0,0,1,1,0,1,0,0,1,0,41.0,0,1,0,1,0,0,0,0,0,0,1,0
0,291,2017,August,31,2,2,5,2,0.0,0,1,0,0,0,1,1,0,0,101.08,0,1,0,0,0,1,0,0,0,0,0,1
1,21,2016,January,2,8,8,22,2,0.0,0,1,0,1,0,0,0,0,0,52.5,0,0,0,1,0,0,0,0,0,0,1,0
0,105,2016,April,17,18,1,2,2,0.0,0,1,0,0,0,0,1,0,0,80.75,0,0,0,0,0,1,0,0,0,0,1,0
0,7,2017,April,16,16,2,2,2,0.0,0,0,0,0,0,0,1,0,0,120.0,0,1,0,0,0,1,0,0,0,0,1,0
0,66,2017,March,12,22,0,3,2,0.0,0,1,0,0,0,0,1,0,0,71.1,0,1,0,0,0,1,0,0,0,0,1,0
0,18,2016,February,10,28,2,1,1,0.0,0,1,0,0,0,0,1,0,0,145.0,0,1,0,0,0,1,0,0,0,0,1,0
1,301,2016,November,47,18,0,2,2,0.0,0,1,0,0,0,0,1,0,0,52.0,0,0,0,0,0,1,1,0,0,0,1,0
1,71,2016,June,25,14,0,3,1,0.0,0,1,0,0,0,0,1,0,0,120.0,0,0,0,0,0,1,1,0,0,0,1,0
1,305,2016,November,45,4,1,2,2,0.0,0,1,0,0,0,0,1,0,0,89.0,0,0,0,0,0,1,1,0,0,0,1,0
1,277,2016,November,46,7,1,2,2,0.0,0,1,0,0,0,0,0,0,0,100.0,0,0,0,0,0,1,1,0,0,0,1,0
0,7,2016,April,18,27,1,4,2,0.0,0,0,0,0,0,0,1,0,0,121.0,0,1,0,0,0,1,0,0,0,0,1,0
1,202,2017,August,32,10,0,3,3,0.0,0,1,0,0,0,0,1,0,0,175.5,0,0,0,0,0,1,0,0,0,0,1,0
1,71,2016,June,25,17,2,2,3,0.0,0,1,0,0,0,0,1,0,0,105.4,0,1,0,0,0,1,0,0,0,0,0,1
1,113,2017,January,1,2,1,4,2,0.0,0,1,0,0,0,0,1,0,0,142.0,0,3,0,0,0,1,0,0,0,0,1,0
0,164,2015,October,40,2,0,2,1,0.0,0,1,0,0,0,0,1,0,0,100.0,0,0,0,0,0,1,0,1,0,0,0,1
0,0,2016,November,48,25,0,0,2,0.0,0,1,1,0,0,0,1,0,0,0.0,0,0,0,0,0,1,0,1,0,0,1,0
0,7,2016,December,52,19,1,3,1,0.0,0,1,1,1,6,0,0,1,0,79.0,0,3,1,0,0,0,0,0,0,0,1,0
0,230,2016,October,43,16,2,1,2,0.0,0,1,0,0,0,0,1,0,0,96.3,0,4,0,0,0,1,0,0,0,0,1,0
1,59,2017,July,29,17,1,2,2,0.0,0,0,0,0,0,0,1,0,0,130.0,0,0,0,0,0,1,0,0,0,0,1,0
1,37,2016,August,35,22,1,2,2,2.0,0,1,0,0,0,0,1,0,0,207.9,0,2,0,0,0,1,0,0,0,0,1,0
0,12,2015,August,32,5,0,3,3,0.0,0,1,0,0,0,0,0,1,0,90.0,0,0,1,0,0,0,0,1,0,0,0,1
0,154,2017,August,34,20,2,3,2,0.0,0,1,0,0,0,0,1,0,0,104.4,0,0,0,0,0,1,0,0,0,0,1,0
0,28,2016,February,7,8,1,3,2,0.0,0,1,0,0,0,0,1,0,0,66.0,0,0,0,0,0,1,0,0,0,0,1,0
1,37,2017,March,11,15,0,2,2,0.0,0,1,0,0,0,0,1,0,0,110.0,0,0,0,0,0,1,1,0,0,0,1,0
1,166,2016,July,28,7,1,3,2,0.0,0,1,0,0,0,2,1,0,0,96.79,0,1,0,0,0,1,0,0,0,0,1,0
1,184,2017,May,22,28,2,3,2,0.0,0,1,0,0,0,0,1,0,0,130.0,0,0,0,0,0,1,1,0,0,0,1,0
1,153,2016,July,28,5,1,5,2,0.0,0,1,0,0,0,1,1,0,0,119.28,0,0,0,0,0,1,0,0,0,0,1,0
1,45,2017,January,4,26,1,3,2,0.0,0,1,0,0,0,0,1,0,0,84.8,0,0,0,0,0,1,0,0,0,0,1,0
0,33,2016,July,29,15,0,1,1,0.0,0,0,0,0,0,0,1,0,0,125.1,0,1,0,0,0,1,0,0,0,0,1,0
0,59,2016,March,12,19,2,2,1,0.0,0,1,0,0,0,0,1,0,0,93.5,0,1,0,0,0,1,0,0,0,0,1,0
1,314,2015,August,35,27,0,2,2,0.0,0,1,1,1,0,0,1,0,0,62.8,0,0,0,0,0,1,0,0,0,0,0,1
0,297,2016,May,20,14,1,1,2,0.0,0,1,0,0,0,0,1,0,236,65.0,0,0,0,0,0,1,0,0,0,0,0,1
0,246,2017,July,27,6,0,3,2,0.0,0,0,0,0,0,0,1,0,0,89.1,0,0,0,0,0,1,0,0,0,0,1,0
0,4,2016,May,20,9,1,2,2,0.0,0,1,0,0,0,0,1,0,0,95.0,0,0,0,0,0,1,0,0,0,0,1,0
0,225,2016,September,38,14,0,4,2,0.0,0,1,0,0,0,0,1,0,0,119.85,0,2,0,0,0,1,0,0,0,0,1,0
0,26,2015,October,43,21,0,1,1,0.0,0,1,0,0,0,0,0,1,0,65.0,0,0,1,0,0,0,0,0,0,0,1,0
1,17,2017,February,9,26,2,1,1,0.0,0,1,0,0,0,0,1,0,0,75.0,0,0,0,0,0,1,0,0,0,0,0,1
1,0,2015,August,34,21,1,2,2,0.0,0,1,0,0,0,0,1,0,0,90.0,0,0,0,0,0,1,0,1,0,0,1,0
0,92,2016,June,23,1,0,4,2,1.0,0,1,0,0,0,2,1,0,0,187.85,0,1,0,0,0,1,0,0,0,0,0,1
0,146,2017,June,23,4,2,1,2,1.0,0,1,0,0,0,0,1,0,0,162.0,0,2,0,0,0,1,0,0,0,0,1,0
1,30,2015,October,41,7,0,3,2,0.0,0,1,0,0,0,0,1,0,0,94.5,0,2,0,0,0,1,0,0,0,0,1,0
0,41,2016,December,53,27,2,5,2,0.0,0,1,0,0,0,0,1,0,0,69.29,0,0,0,0,0,1,0,0,0,0,0,1
0,49,2015,November,46,9,1,4,2,0.0,0,1,0,0,0,0,1,0,0,60.0,0,0,0,0,0,1,0,0,0,0,1,0
1,395,2016,March,13,21,1,2,2,0.0,0,1,0,1,0,0,1,0,0,62.8,0,0,0,0,0,1,1,0,0,0,1,0
0,84,2017,May,20,20,2,2,2,1.0,0,1,0,0,0,0,1,0,0,162.0,0,1,0,0,0,1,0,0,0,0,1,0
0,6,2017,June,25,23,0,2,2,0.0,0,0,0,0,0,0,1,0,0,169.0,0,2,0,0,0,1,0,0,0,0,1,0
1,323,2016,May,22,26,0,2,2,0.0,0,1,0,0,0,0,1,0,0,62.0,0,0,0,0,0,1,1,0,0,0,1,0
0,13,2016,March,13,20,1,0,1,0.0,0,1,0,0,0,2,1,0,0,6.0,0,0,0,0,0,1,0,0,0,0,0,1
0,116,2017,March,12,24,0,2,1,0.0,0,1,0,0,0,1,1,0,0,90.0,0,0,0,0,0,1,0,0,0,0,0,1
0,121,2016,August,35,26,2,5,3,0.0,0,1,0,0,0,0,0,0,0,187.0,0,2,0,1,0,0,0,0,0,0,1,0
1,96,2017,March,11,14,0,4,2,0.0,0,0,0,0,0,0,1,0,0,74.8,0,0,0,0,0,1,0,0,0,0,1,0
1,272,2015,July,29,16,0,2,2,0.0,0,1,1,1,0,0,1,0,0,62.8,0,0,0,0,0,1,0,0,0,0,0,1
1,174,2015,October,41,10,1,1,2,0.0,0,1,0,0,0,0,1,0,0,70.0,0,0,0,0,0,1,1,0,0,0,1,0
1,277,2016,November,46,7,1,2,2,0.0,0,1,0,0,0,0,0,0,0,100.0,0,0,0,0,0,1,1,0,0,0,1,0
1,247,2017,April,16,19,0,3,2,0.0,0,1,0,0,0,0,1,0,0,109.8,0,2,0,0,0,1,0,0,0,0,1,0
1,28,2016,February,9,26,1,2,3,0.0,0,1,0,0,0,0,1,0,0,125.77,0,1,0,0,0,1,0,0,0,0,1,0
1,40,2015,October,43,19,1,2,1,0.0,0,1,0,0,0,0,1,0,0,75.6,0,0,0,0,0,1,0,0,1,0,0,0
0,88,2015,October,41,5,1,1,2,0.0,0,1,0,0,0,0,1,0,77,112.2,0,0,0,0,0,1,0,1,0,0,0,1
0,72,2016,June,23,1,0,3,2,0.0,0,1,0,0,0,0,1,0,0,108.11,0,0,0,0,0,1,0,0,0,0,1,0
1,66,2016,November,46,12,2,1,2,0.0,0,1,0,0,0,0,1,0,0,105.33,0,1,0,0,0,1,0,0,0,0,1,0
